recipe,category
Agave Beef Short Ribs,Mexican Classics
Artichoke Puree,Production Recipes
Avocado Cream,Production Recipes
Beef Birria,Production Recipes
Beef Birria Adobo,Production Recipes
Beer Batter,Production Recipes
Berry Compote,Production Recipes
Butter Bean Puree,Production Recipes
Butter Fried Panko Crumb,Production Recipes
Cauliflower Puree,Production Recipes
Chicken Adobo,Production Recipes
Chicken Poblano Style,Production Recipes
Chicken Tinga,Production Recipes
Chicken Tinga Empanada,Production Recipes
Chicken With Mole Taco,Tacos
Chicken with Mole,Production Recipes
Chimichurri,Production Recipes
Chipotle Aioli,Production Recipes
Chipotle Mayo,Production Recipes
Churros,Production Recipes
Coconut Washed Tequila/CDC,Production Recipes
Coleslaw,Production Recipes
Cooked Prawns,Production Recipes
Coriander & Onion,Production Recipes
Coriander Cashew Salsa,Production Recipes
Coriander Rice,Production Recipes
Corn Masa,Production Recipes
Corn Truffle Filling,Production Recipes
Cured Salmon,Production Recipes
Dried Coconut,Production Recipes
Dulce de Leche,Production Recipes
Eggplant Mix,Production Recipes
Eggplant Taco Mix,Production Recipes
Eperosa 'Magnolia 1941' Semillon 250mL,White Wine
Espresso Martini Batch,Production Recipes
Esquite Sauce,Production Recipes
Flan,Sweet
Garden Party Batch,Production Recipes
Garlic Oil,Production Recipes
Goats Cheese Cream,Production Recipes
Green Aguachile,Production Recipes
Guacachile,Production Recipes
Guajillo Paste,Production Recipes
Herb Oil,Production Recipes
Leche de Tigre,Production Recipes
Martajada Sauce,Production Recipes
Mole Verde,Production Recipes
Octopus Adobo,Production Recipes
Patron Silver 30mL,Tequila
Pico Verde,Production Recipes
Pico de Gallo,Production Recipes
Pineapple Salsa,Production Recipes
Poblano Chicken Taco,Tacos
Polenta Fries,Production Recipes
Pork Belly,Production Recipes
Pork Cochinita,Production Recipes
Pornstar Margarita Batch,Production Recipes
Prawn Aguachile,Mexican Classics
Red Aguachile,Production Recipes
Refried Bean Puree,Production Recipes
Roasted Baby Beetroots,Mexican Classics
Roasted Pistachios,Production Recipes
Salmon & Guajillo Pate,Production Recipes
Salmon (new),Mexican Classics
Salmon Ceviche Sauce (new),Production Recipes
Salmon Cure,Production Recipes
Salmon Taco Mix,Production Recipes
Salsa Macha,Production Recipes
Salsa Verde,Production Recipes
Sensible Marg Batch,Production Recipes
Shishito Pepper Sauce,Production Recipes
Short Ribs,Production Recipes
Slaw,Production Recipes
Smoked Chipotle,Production Recipes
Snapper (new),Mexican Classics
Spiced Tequila & Triple Sec,Production Recipes
Strangelove Yuzu Soda,Non Alcoholic
Tomatillo Salsa,Production Recipes
Veracruzana Sauce,Production Recipes
White Chocolate Almond Ganache,Production Recipes
